dataset,n,d,contam,IForest_auc,IForest_ap,IForest_secs,LOF_auc,LOF_ap,LOF_secs,OCSVM_auc,OCSVM_ap,OCSVM_secs,KNN_auc,KNN_ap,KNN_secs,PCA_auc,PCA_ap,PCA_secs,HBOS_auc,HBOS_ap,HBOS_secs,ECOD_auc,ECOD_ap,ECOD_secs,COPOD_auc,COPOD_ap,COPOD_secs,ABOD_auc,ABOD_ap,ABOD_secs,COF_auc,COF_ap,COF_secs,SOD_auc,SOD_ap,SOD_secs,INNE_auc,INNE_ap,INNE_secs,LODA_auc,LODA_ap,LODA_secs,LSCP_auc,LSCP_ap,LSCP_secs,KDE_auc,KDE_ap,KDE_secs,PIDForest_auc,PIDForest_ap,PIDForest_secs,WAND_auc,WAND_ap,WAND_secs
breastw,683,9,0.349926793557833,0.987507,0.971670,0.106311,0.4427513287345923,0.2957411349071076,0.0140349756644961,0.9513833917599608,0.9176503758800096,0.0230565046658739,0.9770251422971088,0.9236106609213802,0.0509576503342638,0.955558,0.954803,0.003316,0.984790229560104,0.9565857990444008,0.5806799886680286,0.9913962079234048,0.9839277954892326,0.0234235176661362,0.9943552338949828,0.9886386785288372,0.002765558999575,nan,nan,nan,0.4282577556636134,0.2890715841648354,0.186240566331738,0.9335255757849902,0.8490050132600885,1.745613885000542,0.697316,0.437400,0.201035,0.985701182353902,0.9771105244651138,0.0115137670072726,nan,nan,nan,0.9843378943797352,0.9557970922397608,0.0524622969969641,0.975219,0.930311,2.227387,0.990293640921256,0.9798072445998816,0.0580002530186902
glass,214,7,0.0420560747663551,0.787895,0.177362,0.092764,0.7701897018970189,0.1052559932934265,0.0028788933365528,0.5994579945799458,0.1835779833936256,0.0026319016663668,0.8639566395663957,0.1667942851276184,0.0105206506705144,0.653659,0.099212,0.001613,0.8124661246612467,0.1442181511710198,0.0009589666733518,0.7046070460704609,0.1859466647060729,0.0015720753387237,0.7550135501355012,0.1084835893893493,0.0017337266617687,0.8428184281842818,0.249501524207022,0.0258460973370044,0.8682926829268293,0.1538851378470744,0.0344214796641608,0.886720867208672,0.1940571760633932,0.0412911996681941,0.774345,0.132648,0.155713,0.6549232158988256,0.0786427430176187,0.0087938526655004,0.799277,0.117594,0.687859,0.8200542005420054,0.2227813879434689,0.0050959313327136,0.776332,0.100334,4.287861,0.7869918699186991,0.1134376840337786,0.0195368530112318
Hepatitis,80,19,0.1625,0.732491,0.281182,0.094619,0.7187141216991964,0.2607065887864037,0.0123366873303893,0.7210103329506315,0.277512886723413,0.001348624001063,0.7273249138920782,0.25582253849158,0.0053277503320714,0.752009,0.346908,0.002838,0.7749712973593571,0.3392245757317318,0.0022122436736632,0.7393800229621125,0.2923710483630746,0.001857695999206,0.8036739380022961,0.3941311107839461,0.0018971646738161,0.56601607347876,0.1784845315638127,0.0120371439988957,0.478760045924225,0.1533332026005205,0.0142987796668118,0.6314580941446613,0.2329001850224239,0.0122919200027051,0.620742,0.212950,0.161318,0.6230386528893992,0.2793427299572787,0.0087306286683694,0.776885,0.324876,0.279466,0.6486796785304249,0.2228002024877291,0.0015930920004999,0.713356,0.274834,3.740085,0.7898966704936854,0.4299055698258471,0.0107063550094608
Ionosphere,351,32,0.358974358974359,0.841717,0.791604,0.103466,0.8655731922398587,0.8298118429982556,0.0053301613321915,0.8485008818342153,0.8392137238840728,0.0089761396714796,0.9282363315696648,0.9292753361729176,0.0267157496612829,0.784127,0.731230,0.002422,0.5605996472663138,0.3614973279682598,0.0039294203355287,0.7284303350970016,0.6460527623597061,0.0039055350013465,0.7894532627865961,0.6696926579115451,0.0039950383312922,0.9210229276895944,0.8999124914035638,0.0559283469968553,0.8604938271604939,0.8452403256248188,0.0808045633408861,0.8836331569664905,0.8820832048918886,0.0848473513324279,0.889547,0.880543,0.185799,0.7882186948853617,0.745719731729122,0.0098872009984916,0.813169,0.720663,1.322847,0.9379541446208112,0.9325531646189804,0.0273814336687792,0.796502,0.699081,15.101583,0.9071604938271604,0.8733025384583885,0.0281639129971154
Lymphography,148,18,0.0405405405405405,0.998826,0.974868,0.097002,0.9929577464788734,0.8416666666666665,0.0021895556662154,0.9953051643192488,0.8734126984126983,0.0027147220049907,0.9953051643192486,0.8734126984126983,0.0108541979958924,0.996479,0.930556,0.001720,0.9953051643192486,0.9166666666666664,0.0018998823312964,0.9953051643192488,0.8972222222222221,0.0021192603356515,0.9964788732394366,0.9150793650793648,0.0021958166713981,0.9788732394366196,0.6527777777777778,0.0225101293326588,0.9953051643192488,0.9166666666666664,0.0312751960009336,0.9342723004694836,0.3379227053140096,0.0274330286629265,0.984155,0.754233,0.155609,0.8767605633802816,0.5348435975116083,0.0091447019998061,0.994131,0.855556,0.485761,0.98943661971831,0.6884920634920636,0.0040610680007375,0.978482,0.803836,4.287347,0.9976525821596244,0.9484126984126984,0.0125869300100021
Pima,768,8,0.3489583333333333,0.664127,0.494369,0.116531,0.6013880597014925,0.4180239303515835,0.0205222406657412,0.623731343283582,0.4638575158142622,0.0294901396603866,0.708705223880597,0.5299016111427834,0.0503757919990069,0.648410,0.478053,0.001755,0.7086940298507464,0.5709971859981466,0.0014977273288726,0.5943955223880597,0.464170950594416,0.0030644009966636,0.6540149253731344,0.5253573473819029,0.004002981998686,0.6668955223880597,0.494521387620483,0.110591621666875,0.5912388059701492,0.4360636968565647,0.1946079940001558,0.5817014925373135,0.4443607752235941,0.3067552423356877,0.680829,0.481767,0.215816,0.6008805970149255,0.4182803249877045,0.0121882126695709,0.637836,0.445598,2.760626,0.7227985074626866,0.5349009758717296,0.0653659829986281,0.675372,0.483029,3.725855,0.6874402985074627,0.507456104390842,0.0681598270020913
Stamps,340,9,0.0911764705882352,0.895222,0.317170,0.098095,0.5911890594007725,0.1731974417925323,0.0056353206697773,0.8718029021818561,0.2937210164621248,0.0058321636655212,0.7744545359640882,0.2252405636774882,0.0196233156699842,0.906880,0.348561,0.001739,0.9040609666979852,0.3315790128499031,0.0012141376694974,0.8760830984445139,0.3141920643604329,0.0019979890009077,0.9301597243971186,0.396127963309908,0.0021288156664619,0.7616661446915126,0.2002630824382757,0.0457528503369151,0.5401398893412673,0.1830327229100454,0.0645922649952505,0.7718968577095731,0.2071462023741138,0.0755615630090081,0.840902,0.266130,0.171469,0.8826947837282946,0.3191012780126411,0.0106787466647801,0.832272,0.284522,1.239726,0.8896544524480635,0.3326040834299921,0.0171773426651877,0.876187,0.275738,6.224841,0.9013466958972752,0.3327645975480633,0.0251574470021296
vertebral,240,6,0.125,0.352011,0.093022,0.124266,0.4446031746031746,0.1115590943582907,0.0034808796675254,0.4196825396825397,0.1025472161489668,0.0033880366681842,0.378095238095238,0.0976553125627319,0.0135603936651023,0.377302,0.096538,0.001762,0.305079365079365,0.0868846579491962,0.0008899230015231,0.4200000000000001,0.107201704451207,0.0019308060000184,0.3349206349206349,0.0902997143321079,0.0020226890046615,0.3652380952380952,0.0960405414688237,0.0367588883333761,0.4725396825396825,0.1160020133896079,0.0450056116727258,0.3873015873015873,0.0991995329324971,0.0450316146598197,0.383439,0.098352,0.217450,0.2948148148148148,0.0857804546137233,0.0093770863313693,0.350794,0.092295,0.960441,0.3165079365079365,0.0880822243010827,0.0068644313335729,0.277407,0.084915,4.374242,0.2588888888888889,0.0826608534282441,0.0190192669979296
WBC,223,9,0.0448430493273542,0.995305,0.950084,0.112120,0.8211267605633803,0.1231069369357489,0.003665425669169,0.9924882629107982,0.903661616161616,0.0031267893355106,0.9856807511737088,0.7591972151179313,0.0141673216761167,0.993427,0.924343,0.001771,0.988262910798122,0.7781240981240981,0.001179761995445,0.9948356807511736,0.9037698412698412,0.0021185156607922,0.9948356807511736,0.9037698412698412,0.0020131443307036,0.9347417840375588,0.2692016579911317,0.0309907560003921,0.7577464788732394,0.0928715937948558,0.0412504043342778,0.9769953051643192,0.6911184210526317,0.0393744233297184,0.933177,0.383174,0.166850,0.9901408450704224,0.8901400451400452,0.0092542770047051,0.974022,0.479791,0.794889,0.9732394366197182,0.6936904761904762,0.0066316683320716,0.991549,0.856163,2.118587,0.9948356807511738,0.9344497607655504,0.0180485339951701
WDBC,367,30,0.0272479564032697,0.987301,0.627578,0.097766,0.9815126050420168,0.4785372522214627,0.0056357069988735,0.9826330532212886,0.493574481074481,0.0124451396695803,0.9742296918767508,0.4164492753623188,0.0237571816639198,0.985994,0.556099,0.002380,0.9915966386554622,0.8246975970889013,0.0036890340027942,0.9705882352941176,0.5053428053428053,0.003873588667678,0.9941176470588236,0.8036877450035345,0.0036444983367497,0.8854341736694678,0.1643410736180398,0.0539810193343631,0.9473389355742295,0.2313187302893185,0.1151321213304375,0.9473389355742298,0.2944993968453889,0.129009125662075,0.974510,0.376034,0.174629,0.9803921568627452,0.4766431450681237,0.0117740703329521,0.989916,0.670960,1.500589,0.9502801120448178,0.254919634354697,0.0282935933306968,0.991317,0.675188,19.801065,0.9826330532212886,0.4774892498805542,0.0418363920180127
