K,n,fit_s,score_s,pts_per_s
256,10000,0.33511204895330593,0.05577425699448213,179294.1858640864
256,30000,0.33511204895330593,0.17178345198044553,174638.47451042585
256,100000,0.33511204895330593,0.5522475040052086,181078.2290091742
256,300000,0.33511204895330593,1.4820632939809002,202420.50472364385
256,1000000,0.33511204895330593,4.899910999985877,204085.33950981603
256,3000000,0.33511204895330593,13.925036197993904,215439.29633965273
256,10000000,0.33511204895330593,46.663445796992164,214300.50501423923
1024,10000,1.096106119977776,0.23501212697010487,42550.99568232948
1024,30000,1.096106119977776,0.5864702879916877,51153.4865691699
1024,100000,1.096106119977776,1.8479164590244181,54115.00044368543
1024,300000,1.096106119977776,5.053352017013822,59366.53512162785
1024,1000000,1.096106119977776,16.892369368986692,59198.326661974126
1024,3000000,1.096106119977776,48.79808024503291,61477.82832717822
1024,10000000,1.096106119977776,164.15705776697723,60917.27115501248
