kind,d,s,seed,auc,det_auc,method,attr_auc,prec,queries,sec_per_expl
axis,50,3,0,1.0,1.0,witness,0.9877068557919623,0.9111111111111111,0.0,4.219120213141044e-05
axis,50,3,0,1.0,1.0,gradient,0.9995271867612293,0.9777777777777777,0.0,6.98061310686171e-05
axis,50,3,0,1.0,0.6784333333333333,ecod,0.9586288416075651,0.711111111111111,0.0,0.012367172333567093
axis,50,3,0,1.0,1.0,shap,0.9851063829787233,0.9111111111111111,12003.666666666666,0.2283673448022455
axis,50,3,0,1.0,1.0,lime,0.48557919621749407,0.06666666666666667,800.0,0.017576525534968822
axis,50,3,1,1.0,1.0,witness,0.9763593380614657,0.8222222222222222,0.0,4.3337733950465916e-05
axis,50,3,1,1.0,1.0,gradient,0.9981087470449173,0.9555555555555555,0.0,6.804373115301132e-05
axis,50,3,1,1.0,0.7417,ecod,0.9550827423167849,0.7555555555555554,0.0,0.0004914619339009126
axis,50,3,1,1.0,1.0,shap,0.958628841607565,0.8888888888888888,12003.666666666666,0.22959638926355788
axis,50,3,1,1.0,1.0,lime,0.49361702127659574,0.06666666666666667,800.0,0.017498928067895273
axis,50,3,2,1.0,1.0,witness,0.9933806146572104,0.9111111111111111,0.0,0.00029689133322487274
axis,50,3,2,1.0,1.0,gradient,1.0,1.0,0.0,6.720753541837136e-05
axis,50,3,2,1.0,0.7133666666666667,ecod,0.9796690307328606,0.7777777777777776,0.0,0.0005450717988424003
axis,50,3,2,1.0,1.0,shap,0.9697399527186761,0.8888888888888888,12003.666666666666,0.22444266333477572
axis,50,3,2,1.0,1.0,lime,0.5399527186761229,0.13333333333333333,800.0,0.017610304732806982
axis,50,6,0,1.0,1.0,witness,0.9780303030303031,0.8666666666666666,0.0,0.00045501846664895614
axis,50,6,0,1.0,1.0,gradient,0.9982323232323231,0.9444444444444445,0.0,0.00024583293125033376
axis,50,6,0,1.0,0.8617000000000001,ecod,0.9775252525252525,0.8555555555555555,0.0,0.00039107206587990126
axis,50,6,0,1.0,1.0,shap,0.9339646464646464,0.7555555555555554,12003.666666666666,0.25330633979756384
axis,50,6,0,1.0,1.0,lime,0.5328282828282828,0.15555555555555556,800.0,0.021993907533275583
axis,50,6,1,1.0,1.0,witness,0.978030303030303,0.8444444444444447,0.0,0.00498786986960719
axis,50,6,1,1.0,1.0,gradient,0.998989898989899,0.9777777777777779,0.0,9.207179925094048e-05
axis,50,6,1,1.0,0.9175,ecod,0.9731060606060605,0.8444444444444447,0.0,0.00033076260006055237
axis,50,6,1,1.0,1.0,shap,0.9352272727272728,0.8111111111111112,12003.666666666666,0.2815407021980112
axis,50,6,1,1.0,1.0,lime,0.5315656565656565,0.12222222222222222,800.0,0.022786484068880477
axis,50,6,2,1.0,1.0,witness,0.9835858585858585,0.8555555555555556,0.0,3.1009331966439886e-05
axis,50,6,2,1.0,1.0,gradient,0.9936868686868687,0.9222222222222224,0.0,4.319419773916403e-05
axis,50,6,2,1.0,0.8817333333333334,ecod,0.9782828282828284,0.8555555555555555,0.0,0.00030237360236545405
axis,50,6,2,1.0,1.0,shap,0.9388888888888889,0.7666666666666668,12003.666666666666,0.25651901146629824
axis,50,6,2,1.0,1.0,lime,0.4777777777777778,0.08888888888888888,800.0,0.01956948866524423
axis,100,3,0,1.0,1.0,witness,0.9958762886597938,0.8666666666666666,0.0,4.449120024219155e-05
axis,100,3,0,1.0,1.0,gradient,0.9997709049255441,0.9777777777777777,0.0,5.581460039441784e-05
axis,100,3,0,1.0,0.5905,ecod,0.9828178694158076,0.7333333333333333,0.0,0.0005677091307006776
axis,100,3,0,1.0,1.0,shap,0.9132875143184421,0.7777777777777778,12003.666666666666,0.27141342640000704
axis,100,3,0,1.0,1.0,lime,0.6059564719358534,0.1111111111111111,800.0,0.02290635546669364
axis,100,3,1,1.0,1.0,witness,0.9789232531500573,0.7777777777777778,0.0,0.00040691993199288846
axis,100,3,1,1.0,1.0,gradient,0.995418098510882,0.9777777777777777,0.0,6.483979911232988e-05
axis,100,3,1,1.0,0.6496666666666666,ecod,0.9558991981672395,0.7333333333333333,0.0,0.000605808466207236
axis,100,3,1,1.0,1.0,shap,0.9269186712485682,0.8444444444444443,12003.666666666666,0.2540259636666936
axis,100,3,1,1.0,1.0,lime,0.6849942726231386,0.2888888888888889,800.0,0.021284580735179286
