dataset,n,d,auc,method,deletion,insertion,faithful,queries,sec_per_expl,wit_grad_agree
fault,1941,27,0.606,witness,0.436,0.9473,0.5113,0.0,2.5924749206751584e-05,0.833
fault,1941,27,0.606,gradient,0.5755,0.9493,0.3737,0.0,4.4985351269133386e-05,0.833
fault,1941,27,0.606,shap,0.8679,0.9497,0.0818,12003.0,0.2214711007021833,0.833
fault,1941,27,0.606,lime,0.7742,0.9206,0.1464,600.0,0.0103301118011586,0.833
fault,1941,27,0.606,random,0.8659,0.906,0.04,0.0,0.0,0.833
fault,1941,27,0.606,ecod,0.4362,0.7903,0.3541,0.0,0.0,0.833
glass,214,7,0.769,witness,0.498,0.915,0.4171,0.0,2.613030083011836e-05,0.777
glass,214,7,0.769,gradient,0.6898,0.9383,0.2485,0.0,4.355480195954442e-05,0.777
glass,214,7,0.769,shap,0.6196,0.9394,0.3198,5043.0,0.0927570441999705,0.777
glass,214,7,0.769,lime,0.6432,0.9013,0.2581,600.0,0.0080397543497383,0.777
glass,214,7,0.769,random,0.7864,0.7576,-0.0288,0.0,0.0,0.777
glass,214,7,0.769,ecod,0.5135,0.7373,0.2237,0.0,0.0,0.777
Hepatitis,80,19,0.704,witness,0.084,0.8878,0.8038,0.0,1.924475072883069e-05,0.78
Hepatitis,80,19,0.704,gradient,0.1082,0.913,0.8048,0.0,3.055220004171133e-05,0.78
Hepatitis,80,19,0.704,shap,0.1076,0.8685,0.7609,11763.0,0.2358827691525221,0.78
Hepatitis,80,19,0.704,lime,0.1779,0.8177,0.6399,600.0,0.0101782108482439,0.78
Hepatitis,80,19,0.704,random,0.5122,0.4825,-0.0297,0.0,0.0,0.78
Hepatitis,80,19,0.704,ecod,0.4892,0.9022,0.4129,0.0,0.0,0.78
Ionosphere,351,32,0.932,witness,0.2599,0.7781,0.5182,0.0,2.8162598027847707e-05,0.725
Ionosphere,351,32,0.932,gradient,0.32,0.8628,0.5429,0.0,3.994025173597038e-05,0.725
Ionosphere,351,32,0.932,shap,0.3897,0.8449,0.4551,12003.0,0.2582956709491554,0.725
Ionosphere,351,32,0.932,lime,0.328,0.7287,0.4007,600.0,0.0110689976514549,0.725
Ionosphere,351,32,0.932,random,0.6173,0.6078,-0.0095,0.0,0.0,0.725
Ionosphere,351,32,0.932,ecod,0.5722,0.7214,0.1491,0.0,0.0,0.725
landsat,6435,36,0.476,witness,0.4413,0.9384,0.4971,0.0,3.81385994842276e-05,0.728
landsat,6435,36,0.476,gradient,0.6556,0.9498,0.2942,0.0,5.033109919168055e-05,0.728
landsat,6435,36,0.476,shap,0.8012,0.9422,0.1409,12003.0,0.2319648308999603,0.728
landsat,6435,36,0.476,lime,0.8567,0.9362,0.0794,600.0,0.0108154560002731,0.728
landsat,6435,36,0.476,random,0.8938,0.8668,-0.027,0.0,0.0,0.728
landsat,6435,36,0.476,ecod,0.4908,0.6537,0.1629,0.0,0.0,0.728
letter,1600,32,0.777,witness,0.1242,0.8553,0.731,0.0,2.797550114337355e-05,0.808
letter,1600,32,0.777,gradient,0.1322,0.9139,0.7817,0.0,3.438694984652102e-05,0.808
letter,1600,32,0.777,shap,0.2471,0.8699,0.6228,12003.0,0.223198850947665,0.808
letter,1600,32,0.777,lime,0.5171,0.6215,0.1045,600.0,0.0097651528485585,0.808
letter,1600,32,0.777,random,0.5851,0.4777,-0.1074,0.0,0.0,0.808
letter,1600,32,0.777,ecod,0.4473,0.8088,0.3615,0.0,0.0,0.808
Lymphography,148,18,0.986,witness,0.0754,0.9429,0.8675,0.0,2.0017451606690884e-05,0.7
Lymphography,148,18,0.986,gradient,0.0868,0.948,0.8612,0.0,3.4430797677487134e-05,0.7
Lymphography,148,18,0.986,shap,0.1092,0.9385,0.8293,11683.0,0.214536474700435,0.7
