dataset,n,d,WAND,IForest,AutoEncoder,VAE,DeepSVDD
breastw,683,9,0.9795224094387274,0.9873063440009047,0.9674507143126391,0.9601002676316485,0.962682347619586
Pima,768,8,0.6896791044776119,0.660320895522388,0.627268656716418,0.6631567164179104,0.6540298507462686
WBC,223,9,0.9755868544600939,0.9948356807511738,0.9868544600938967,0.9929577464788732,0.996244131455399
WDBC,367,30,0.9521008403361345,0.9831932773109244,0.9613445378151261,0.9871148459383754,0.9745098039215686
wine,129,13,0.6512605042016807,0.7747899159663865,0.5756302521008404,0.8,0.5100840336134453
Ionosphere,351,32,0.9318165784832452,0.8370017636684304,0.8217989417989418,0.7864197530864198,0.7454673721340388
cardio,1831,21,0.9040648173578686,0.9329305135951661,0.7508617138148861,0.9434564680032957,0.9520049436967867
Cardiotocography,2114,21,0.5919882078419935,0.6600222925955248,0.5497794178924122,0.603072003000125,0.8169559148297847
thyroid,3772,6,0.9616772907551433,0.974879218581487,0.9518481822140776,0.9122628577775049,0.9625482614197991
satellite,6435,36,0.6533440355930152,0.6705304741968952,0.6621924365735916,0.7043171202063694,0.6546115142260855
satimage-2,5803,36,0.9869843625605693,0.9916063021534651,0.9157509607540568,0.9973487119506994,0.9864413276589054
mammography,10000,6,0.8658266600420856,0.8531384257364976,0.8626113331482347,0.8520097962210661,0.7195139883387889
optdigits,5216,62,0.5241742334517699,0.7450098697197,0.5112830635609948,0.5220200026319253,0.38341755494143964
musk,3062,166,0.997423549660124,1.0,0.8659376575511551,1.0,0.9846942855652718
pendigits,6870,16,0.6910178119963641,0.9555654850561016,0.8212031117527097,0.8865640490975611,0.9488096056460668
letter,1600,32,0.7767799999999999,0.64304,0.8074266666666667,0.5252,0.5220866666666667
