dataset,n,d,K_oracle_auc,K_oracle_val,axis_weight_oracle_auc,axis_weight_oracle_val,spacing_k_factor_oracle_auc,spacing_k_factor_oracle_val,n_langevin_oracle_auc,n_langevin_oracle_val,default_auc,per_knob_oracle_auc,gain_per_knob
breastw,683,9,0.991678917411135,1024,0.9921972181386408,1.0,0.9921029816427306,0.0,0.991678917411135,20,0.990293640921256,0.9921972181386408,0.0019035772173847665
glass,214,7,0.8092140921409213,256,0.7978319783197831,1.0,0.7934959349593496,0.5,0.7940379403794038,40,0.7869918699186991,0.8092140921409213,0.022222222222222254
Hepatitis,80,19,0.8036739380022963,1024,0.8082663605051665,0.0,0.8094144661308841,1.5,0.8036739380022963,20,0.7898966704936854,0.8094144661308841,0.019517795637198687
Ionosphere,351,32,0.8683597883597883,1024,0.9165079365079364,1.0,0.8715343915343915,0.5,0.9071604938271604,0,0.9071604938271604,0.9165079365079364,0.00934744268077603
Lymphography,148,18,0.9988262910798122,1024,0.9988262910798122,0.0,0.9988262910798122,0.0,0.9988262910798122,10,0.9976525821596244,0.9988262910798122,0.0011737089201878659
Pima,768,8,0.6846641791044776,2048,0.6823507462686568,0.0,0.6861865671641791,1.5,0.6874402985074627,0,0.6874402985074627,0.6874402985074627,0.0
Stamps,340,9,0.9082367679298464,256,0.9041653617287816,0.0,0.9046873368827644,1.5,0.9041653617287818,10,0.9013466958972752,0.9082367679298464,0.006890072032571193
vertebral,240,6,0.2777777777777778,256,0.2903174603174603,0.0,0.3742857142857142,0.0,0.2633333333333333,20,0.2588888888888889,0.3742857142857142,0.11539682539682533
WBC,223,9,0.9943661971830986,256,0.9938967136150236,0.1,0.9934272300469484,0.0,0.9948356807511738,0,0.9948356807511738,0.9948356807511738,0.0
WDBC,367,30,0.9862745098039216,512,0.9826330532212886,0.0,0.9820728291316526,0.0,0.98515406162465,40,0.9826330532212886,0.9862745098039216,0.0036414565826330403
wine,129,13,0.9731092436974792,1024,0.9747899159663866,0.0,0.9739495798319328,1.5,0.9731092436974792,20,0.9394957983193276,0.9747899159663866,0.03529411764705903
WPBC,198,33,0.5617866704241228,256,0.6003945329012259,1.0,0.5633366211075101,0.0,0.5641820487529943,0,0.5641820487529943,0.6003945329012259,0.03621248414823164
annthyroid,7200,6,0.7888732693494067,256,0.8342637634549972,1.0,0.9268005452230615,0.0,0.7811508678957783,20,0.7770201177421112,0.9268005452230615,0.14978042748095033
cardio,1831,21,0.9252677835759406,2048,0.9259406756385608,0.0,0.9139625102993684,1.0,0.9289549574292776,10,0.922926393847844,0.9289549574292776,0.006028563581433555
Cardiotocography,2114,21,0.653360556689862,1024,0.6680538772448852,1.0,0.6749825513563065,0.0,0.6534204550189591,0,0.6534204550189591,0.6749825513563065,0.021562096337347403
fault,1941,27,0.4742255356448128,512,0.5078419056815145,0.0,0.4730537027575571,1.0,0.4858829292072316,0,0.4858829292072316,0.5078419056815145,0.021958976474282965
landsat,6435,36,0.5874843367839215,256,0.578643974988259,0.25,0.6008308231507112,1.5,0.5795403182430261,40,0.5754826593751534,0.6008308231507112,0.02534816377555782
letter,1600,32,0.65088,2048,0.6142733333333333,0.5,0.6137133333333333,0.5,0.6882066666666667,0,0.6882066666666667,0.6882066666666667,0.0
PageBlocks,5393,10,0.9152377395766828,256,0.9108620142712008,1.0,0.9072532555926324,0.5,0.9159894471816988,0,0.9159894471816988,0.9159894471816988,0.0
pendigits,6870,16,0.9254256318599484,2048,0.9227026572871077,0.25,0.9228811973450044,1.5,0.9308524858122712,10,0.9258925093375496,0.9308524858122712,0.0049599764747215724
satellite,6435,36,0.7888247954192125,256,0.7833996027852375,0.25,0.798523150689275,1.5,0.7838587176671247,40,0.7809617831521809,0.798523150689275,0.01756136753709414
satimage-2,5803,36,0.9946237087563764,2048,0.9984421532685296,0.0,0.9989950168561964,0.0,0.9941150742557228,40,0.9933631797764956,0.9989950168561964,0.00563183707970083
thyroid,3772,6,0.9867220814445252,256,0.9871049578105318,1.0,0.9821012605692876,0.5,0.9826624228767168,40,0.9804908416557796,0.9871049578105318,0.006614116154752159
