dataset,n,d,contam,IForest_auc,IForest_ap,IForest_secs,PCA_auc,PCA_ap,PCA_secs,INNE_auc,INNE_ap,INNE_secs,LSCP_auc,LSCP_ap,LSCP_secs
breastw,683,9,0.34992679355783307,0.987306,0.971069,0.083354,0.955558,0.954803,0.015508,0.685448,0.430092,0.158943,nan,nan,nan
glass,214,7,0.04205607476635514,0.798374,0.211537,0.072712,0.653659,0.099212,0.001504,0.808130,0.150772,0.126948,0.800000,0.115891,0.525255
Hepatitis,80,19,0.1625,0.735936,0.272464,0.074392,0.752009,0.346908,0.014584,0.633754,0.214799,0.118391,0.774971,0.323856,0.220256
Ionosphere,351,32,0.358974358974359,0.837002,0.788127,0.082425,0.784127,0.731230,0.002497,0.892416,0.885287,0.137496,0.811570,0.716319,1.102684
Lymphography,148,18,0.04054054054054054,1.000000,1.000000,0.075118,0.996479,0.930556,0.001512,0.985915,0.746429,0.123165,0.994131,0.855556,0.380348
Pima,768,8,0.3489583333333333,0.660321,0.489579,0.083389,0.648410,0.478053,0.001564,0.682817,0.485605,0.160079,0.640567,0.443953,2.102217
Stamps,340,9,0.09117647058823529,0.886731,0.299640,0.074965,0.906880,0.348561,0.001513,0.846017,0.270700,0.137867,0.822424,0.276431,0.867988
vertebral,240,6,0.125,0.391429,0.098771,0.072834,0.377302,0.096538,0.001403,0.397460,0.100973,0.126413,0.346032,0.091642,0.601942
WBC,223,9,0.04484304932735426,0.994836,0.947619,0.079020,0.993427,0.924343,0.001397,0.944601,0.439643,0.127354,0.973709,0.472677,0.546177
WDBC,367,30,0.027247956403269755,0.983193,0.525180,0.076275,0.985994,0.556099,0.001939,0.975910,0.395970,0.141135,0.989916,0.672359,1.075040
wine,129,13,0.07751937984496124,0.774790,0.176438,0.070965,0.805882,0.250123,0.001564,0.810924,0.183798,0.122015,0.910084,0.327682,0.323869
WPBC,198,33,0.23737373737373738,0.477948,0.222903,0.071646,0.482457,0.227144,0.001982,0.495843,0.225853,0.129052,0.531633,0.236756,0.532993
annthyroid,7200,6,0.07416666666666667,0.811624,0.309231,0.148552,0.673469,0.191563,0.002921,0.694073,0.211232,0.518714,nan,nan,nan
cardio,1831,21,0.0961223375204806,0.932931,0.553291,0.090630,0.950038,0.610221,0.013087,0.906133,0.408514,0.221890,0.687304,0.224377,6.274019
Cardiotocography,2114,21,0.22043519394512773,0.660022,0.406814,0.113041,0.752345,0.474868,0.002953,0.662703,0.388836,0.308185,0.554009,0.303104,7.443840
fault,1941,27,0.3467284904688305,0.560141,0.404956,0.096057,nan,nan,nan,0.575605,0.443510,0.230894,0.569252,0.399533,7.098485
landsat,6435,36,0.20714840714840715,0.441516,0.182736,0.145504,0.364380,0.162961,0.012566,0.543380,0.220585,0.817165,0.564682,0.246179,33.172559
letter,1600,32,0.0625,0.643040,0.091983,0.098915,0.524933,0.077081,0.003934,0.702653,0.190795,0.225533,0.856653,0.347394,6.285457
PageBlocks,5393,10,0.09456703133691823,0.903102,0.494463,0.127991,0.904970,0.511571,0.003037,0.941556,0.614594,0.437890,0.816074,0.391093,17.935377
pendigits,6870,16,0.022707423580786028,0.955565,0.267149,0.193808,0.935711,0.222590,0.005279,0.892021,0.136725,0.554269,0.711497,0.068362,26.844882
