dataset,n,d,contam,IForest_auc,IForest_ap,IForest_secs,PCA_auc,PCA_ap,PCA_secs,INNE_auc,INNE_ap,INNE_secs,LSCP_auc,LSCP_ap,LSCP_secs
breastw,683,9,0.34992679355783307,0.989229,0.975995,0.113899,0.955558,0.954803,0.002841,0.728778,0.463822,0.213893,nan,nan,nan
glass,214,7,0.04205607476635514,0.776694,0.204097,0.097382,0.653659,0.099212,0.001603,0.784282,0.144235,0.163019,0.811382,0.126775,0.706222
Hepatitis,80,19,0.1625,0.732491,0.289217,0.095666,0.752009,0.346908,0.002090,0.617681,0.223144,0.163076,0.773823,0.321441,0.295331
Ionosphere,351,32,0.358974358974359,0.837354,0.787162,0.107091,0.784127,0.731230,0.002097,0.889171,0.877828,0.176067,0.815414,0.725389,1.376181
Lymphography,148,18,0.04054054054054054,0.997653,0.948413,0.105824,0.996479,0.930556,0.001783,0.985915,0.834722,0.157168,0.994131,0.855556,0.513318
Pima,768,8,0.3489583333333333,0.668873,0.499537,0.114900,0.648410,0.478053,0.001773,0.678664,0.478081,0.208476,0.632627,0.440494,2.911681
Stamps,340,9,0.09117647058823529,0.910847,0.349898,0.104164,0.906880,0.348561,0.001759,0.823625,0.265449,0.175204,0.826078,0.278351,1.302838
vertebral,240,6,0.125,0.352698,0.092820,0.108447,0.377302,0.096538,0.001900,0.380635,0.097796,0.192209,0.373333,0.095284,0.833544
WBC,223,9,0.04484304932735426,0.995775,0.952632,0.106399,0.993427,0.924343,0.001890,0.912207,0.285655,0.172261,0.974648,0.480106,0.754119
WDBC,367,30,0.027247956403269755,0.988235,0.676407,0.106301,0.985994,0.556099,0.002446,0.968908,0.320417,0.181846,0.989636,0.665996,1.417531
wine,129,13,0.07751937984496124,0.813445,0.209706,0.100145,0.805882,0.250123,0.002060,0.773109,0.158012,0.161515,0.906723,0.326844,0.411791
WPBC,198,33,0.23737373737373738,0.497534,0.229268,0.097278,0.482457,0.227144,0.002102,0.509652,0.232968,0.159504,0.525433,0.232998,0.689997
annthyroid,7200,6,0.07416666666666667,0.849101,0.348585,0.209884,0.673469,0.191563,0.003503,0.704845,0.211744,0.719364,0.735016,0.184499,32.337641
cardio,1831,21,0.0961223375204806,0.908960,0.495133,0.139898,0.950038,0.610221,0.003776,0.923232,0.476834,0.317271,0.717842,0.249621,8.798620
Cardiotocography,2114,21,0.22043519394512773,0.664220,0.397301,0.128219,0.752345,0.474868,0.003426,0.656411,0.357421,0.316203,0.569873,0.314940,10.724764
fault,1941,27,0.3467284904688305,0.567121,0.395468,0.149047,nan,nan,nan,0.569320,0.432953,0.324928,0.584749,0.409384,9.797311
landsat,6435,36,0.20714840714840715,0.513355,0.210607,0.197249,0.364380,0.162961,0.016001,0.527982,0.214977,1.399533,0.557371,0.244098,48.274367
letter,1600,32,0.0625,0.650213,0.095734,0.116002,0.524933,0.077081,0.004198,0.703673,0.185847,0.281639,0.840473,0.344538,7.433025
PageBlocks,5393,10,0.09456703133691823,0.906477,0.481879,0.144867,0.904970,0.511571,0.003531,0.948801,0.673213,0.470606,0.815096,0.390695,19.953499
pendigits,6870,16,0.022707423580786028,0.930166,0.186719,0.191429,0.935711,0.222590,0.004919,0.900929,0.116423,0.589590,0.711391,0.068892,27.891911
satellite,6435,36,0.3163947163947164,0.728031,0.694630,0.164682,0.601156,0.605718,0.013879,0.730454,0.600012,0.934571,0.637366,0.459458,40.390802
satimage-2,5803,36,0.0122350508357746,0.993761,0.935956,0.168638,0.977180,0.872216,0.013863,0.998339,0.927672,0.692738,0.859000,0.135323,38.130075
thyroid,3772,6,0.024655355249204668,0.981084,0.580819,0.126252,0.955978,0.358539,0.002761,0.971549,0.448156,0.374435,0.789734,0.136716,12.498460
vowels,1456,12,0.034340659340659344,0.745889,0.162416,0.097535,0.609815,0.067050,0.002006,0.907838,0.349576,0.200635,0.924666,0.334128,4.962785
Waveform,3443,21,0.02904443799012489,0.674308,0.049042,0.127081,0.639518,0.044889,0.004145,0.729653,0.078227,0.349118,0.745067,0.077177,17.587861
Wilt,4819,5,0.05333056650757419,0.452830,0.043907,0.138946,0.434282,0.042732,0.002339,0.362472,0.037870,0.410900,0.605467,0.064065,14.347279
yeast,1484,8,0.341644204851752,0.391506,0.304517,0.094850,0.395610,0.294773,0.001968,0.388043,0.289291,0.212991,0.436218,0.319405,4.952949
ALOI,49534,27,0.030443735615940565,0.538569,0.033378,0.397804,0.548454,0.037003,0.067386,0.556839,0.037265,6.790953,nan,nan,nan
celeba,202599,39,0.022443348683853327,0.691583,0.067079,3.170366,0.784035,0.111626,0.645638,0.764988,0.062353,35.858273,nan,nan,nan
cover,286048,10,0.009603283365029646,0.878099,0.058435,2.570599,0.933781,0.072354,0.131860,0.961560,0.145378,37.504575,nan,nan,nan
donors,619326,10,0.05927411411760527,0.763613,0.114990,8.580534,0.823789,0.167470,0.329301,0.711457,0.099443,93.473274,nan,nan,nan
fraud,284807,29,0.001727485630620034,0.949580,0.112632,2.935385,0.952589,0.148141,0.611946,0.956766,0.178534,43.735477,nan,nan,nan
http,567498,3,0.003896048972859816,0.999148,0.811176,5.528970,0.996030,0.476324,0.091929,0.999138,0.813839,76.712076,nan,nan,nan
magic.gamma,19020,10,0.3516298633017876,0.724708,0.634225,0.315046,0.666599,0.591639,0.007278,0.734764,0.660693,2.178283,nan,nan,nan
mammography,11183,6,0.023249575248144506,0.861125,0.192301,0.189210,0.893843,0.200534,0.003411,0.819259,0.167060,0.761196,0.748876,0.076308,37.150128
shuttle,49097,9,0.0715114976475141,0.996863,0.973158,0.584315,0.989870,0.915451,0.017528,0.987479,0.771289,6.021988,nan,nan,nan
skin,245057,3,0.20753947040892526,0.666518,0.251548,1.832850,0.417050,0.163758,0.037805,0.774613,0.329655,29.124631,nan,nan,nan
smtp,95156,3,0.0003152717642607928,0.903381,0.004412,1.024512,0.807711,0.358112,0.014608,0.929714,0.438401,11.491607,nan,nan,nan
backdoor,95329,193,0.02443118043827167,0.767730,0.062170,1.436231,nan,nan,nan,0.908524,0.615226,37.510589,nan,nan,nan
campaign,41188,62,0.11265417111780131,0.700664,0.266663,0.605656,nan,nan,nan,0.727876,0.255661,7.973670,nan,nan,nan
census,299285,500,0.062041198189017155,0.597682,0.070346,3.452771,nan,nan,nan,0.665001,0.088675,246.211413,nan,nan,nan
