dataset,n,d,contam,K=256_auc,K=256_ap,K=256_secs,K=512_auc,K=512_ap,K=512_secs,K=1024_auc,K=1024_ap,K=1024_secs,K=2048_auc,K=2048_ap,K=2048_secs
breastw,683,9,0.34992679355783307,0.9911983112819932,0.9825478829518992,0.14912334299879149,0.9910475328885371,0.9817299737425241,0.3216311270080041,0.991678917411135,0.9837112162321883,0.60960785500356,0.9914150552225867,0.9830789178562475,1.434528053010581
glass,214,7,0.04205607476635514,0.8092140921409213,0.1302305529497349,0.052528756990795955,0.789159891598916,0.11473129296110664,0.09008969302522019,0.7913279132791328,0.11488050892437865,0.11029090100782923,0.7983739837398374,0.11847402569385002,0.29755736398510635
Hepatitis,80,19,0.1625,0.7439724454649828,0.301436333043467,0.029260756011353806,0.7703788748564868,0.4148168663271638,0.04224428298766725,0.8036739380022963,0.49729809875509284,0.04893992701545358,0.7807118254879449,0.4586932357749059,0.08531709399539977
Ionosphere,351,32,0.358974358974359,0.8562257495590829,0.7894781316753352,0.05702483101049438,0.8161199294532627,0.6882615403482715,0.08029846800491214,0.8683597883597883,0.8115518613678271,0.20425535898539238,0.859647266313933,0.782606451983114,0.5380960599868558
Lymphography,148,18,0.04054054054054054,0.9976525821596244,0.9484126984126984,0.04159338501631282,0.9976525821596244,0.9484126984126984,0.047893968992866576,0.9988262910798122,0.976190476190476,0.0797307169996202,0.9988262910798122,0.976190476190476,0.16809437901247293
Pima,768,8,0.3489583333333333,0.672134328358209,0.5046757554479451,0.11221231098170392,0.6801119402985074,0.5072938445285363,0.18708346202038229,0.6819626865671643,0.5102779599433123,0.577251228998648,0.6846641791044776,0.5108721445262489,1.2739641509833746
Stamps,340,9,0.09117647058823529,0.9082367679298465,0.34704333796089004,0.07355364999966696,0.9008247207432926,0.33281390552276474,0.08619287397596054,0.9028082263284267,0.335137405852039,0.19130472899996676,0.8995719803737342,0.32901924842648256,0.5089277969964314
vertebral,240,6,0.125,0.2777777777777778,0.08448320446907287,0.05320760200265795,0.25507936507936513,0.08217038284330878,0.06780282899853773,0.2633333333333333,0.08288422934992512,0.12805905201821588,0.25222222222222224,0.08195715115105026,0.31155572200077586
WBC,223,9,0.04484304932735426,0.9943661971830986,0.9173737373737373,0.056290096981683746,0.9934272300469483,0.9118181818181817,0.0667623830086086,0.9929577464788732,0.9003588516746411,0.11951260600471869,0.992018779342723,0.8919580419580418,0.28371151100145653
WDBC,367,30,0.027247956403269755,0.9747899159663865,0.3921237640355288,0.06377199199050665,0.9862745098039215,0.5306318681318681,0.09408087300835177,0.9801120448179272,0.4545750572956455,0.20127511100145057,0.9834733893557424,0.49675776430386737,0.5211379130196292
wine,129,13,0.07751937984496124,0.9638655462184874,0.5279467672850027,0.031045868003275245,0.9638655462184873,0.519549062049062,0.03753047698410228,0.9731092436974791,0.6104220779220779,0.057093562005320564,0.9663865546218487,0.5397130647130648,0.10606142500182614
WPBC,198,33,0.23737373737373738,0.5617866704241228,0.2530050975517701,0.046054648992139846,0.5507961110328308,0.24612086789859006,0.059058176004327834,0.5523460617162181,0.2484827600272769,0.09055275897844695,0.5554459630829929,0.24842658463487616,0.21985438599949703
annthyroid,7200,6,0.07416666666666667,0.7888732693494067,0.3394596373532955,1.7288691860157996,0.7747521943205556,0.31318187208586207,3.393967880983837,0.7811508678957783,0.32537857203687426,6.824524581985315,0.774179103303589,0.30831615664922934,14.06584296899382
cardio,1831,21,0.0961223375204806,0.9068731117824774,0.5475937962023655,0.24434591599856503,0.9195379016753639,0.5708335434605902,0.5528896549949422,0.9139625102993683,0.5791962544271125,1.3699184940196574,0.9252677835759406,0.5727048547794041,2.873664918006398
Cardiotocography,2114,21,0.22043519394512773,0.624292939289137,0.37776051791453447,0.3034896980097983,0.6278842347597817,0.3819780817744604,0.700538853998296,0.653360556689862,0.4032125827262203,1.6362304520152975,0.6425580232509688,0.3912099768783388,3.372239647025708
fault,1941,27,0.3467284904688305,0.47322947769064544,0.40024470162060155,0.3315892620012164,0.47422553564481285,0.3982531868968545,0.7227811790071428,0.4730537027575571,0.3988905612311825,1.6676804129965603,0.46893705382462814,0.39400354684519556,3.5593089949979912
landsat,6435,36,0.20714840714840715,0.5874843367839215,0.2443852219694564,1.2309958580008242,0.5778534990470472,0.24070859264836683,2.5289981979876757,0.578643974988259,0.2409243051356032,4.900141966994852,0.5747040935067165,0.24142055370636817,10.6011758359964
letter,1600,32,0.0625,0.6238466666666667,0.10082893622978115,0.18025486401165836,0.6456599999999999,0.10182990204605749,0.45267140300711617,0.6111466666666666,0.11509024759511419,1.2350999279879034,0.65088,0.10407046318843483,2.5061610389966518
