dataset,n,d,contam,axis_weight=0.0_auc,axis_weight=0.0_ap,axis_weight=0.0_secs,axis_weight=0.1_auc,axis_weight=0.1_ap,axis_weight=0.1_secs,axis_weight=0.25_auc,axis_weight=0.25_ap,axis_weight=0.25_secs,axis_weight=0.5_auc,axis_weight=0.5_ap,axis_weight=0.5_secs,axis_weight=1.0_auc,axis_weight=1.0_ap,axis_weight=1.0_secs
breastw,683,9,0.34992679355783307,0.9911229220852652,0.9824940690696625,0.5326207450125366,0.9913019714274944,0.9828598703723552,0.4934921480016783,0.991678917411135,0.9837112162321883,0.4575747390044853,0.9919710505484564,0.9842870577414524,0.4724803179851733,0.9921972181386407,0.9847347144863907,0.47124856201116927
glass,214,7,0.04205607476635514,0.7880758807588075,0.11535891283440303,0.11462822702014819,0.7913279132791327,0.11648608708298691,0.11449508898658678,0.7913279132791328,0.11488050892437865,0.11542253498919308,0.7940379403794038,0.11526623090679505,0.11766738601727411,0.7978319783197831,0.11328070621361619,0.11344098599511199
Hepatitis,80,19,0.1625,0.8082663605051665,0.4902646942378029,0.09431658999528736,0.8082663605051665,0.5027234044450687,0.09403793900855817,0.8036739380022963,0.49729809875509284,0.09577814498334192,0.791044776119403,0.43101747015664615,0.08582177499192767,0.7921928817451205,0.4158693701895178,0.07391607001773082
Ionosphere,351,32,0.358974358974359,0.8382363315696649,0.7708113373154014,0.19274285199935548,0.8511463844797178,0.7892203439196835,0.2156795999908354,0.8683597883597883,0.8115518613678271,0.20310869501554407,0.8903350970017637,0.8402236020181767,0.19943440399947576,0.9165079365079365,0.8759152013679473,0.2082364629895892
Lymphography,148,18,0.04054054054054054,0.9988262910798122,0.976190476190476,0.09631835599429905,0.9988262910798122,0.976190476190476,0.09273516898974776,0.9988262910798122,0.976190476190476,0.091368349007098,0.9976525821596244,0.9484126984126984,0.0957386800146196,0.9976525821596244,0.9484126984126984,0.09597634800593369
Pima,768,8,0.3489583333333333,0.6823507462686568,0.5089044747262629,0.5086827549966983,0.6823283582089552,0.5095443029026591,0.4692297980072908,0.6819626865671643,0.5102779599433123,0.6242930440057535,0.6807835820895523,0.5098150096279753,0.452242968021892,0.678723880597015,0.506046498086811,0.6484273669775575
Stamps,340,9,0.09117647058823529,0.9041653617287817,0.3377771803233557,0.3045529470255133,0.9039565716671887,0.33736326904664005,0.20438410600763746,0.9028082263284267,0.335137405852039,0.2027019940142054,0.9015554859588684,0.3329521455549566,0.26100571898859926,0.8998851654661238,0.3286467752418991,0.20062756101833656
vertebral,240,6,0.125,0.2903174603174603,0.08517426047305832,0.12184554201667197,0.2761904761904762,0.08392392072178412,0.14960341498954222,0.2633333333333333,0.08288422934992512,0.14240805900772102,0.24984126984126986,0.08180251215707776,0.13939652100089006,0.2461904761904762,0.081343969678876,0.1079666419827845
WBC,223,9,0.04484304932735426,0.9934272300469483,0.9118181818181817,0.1324189529987052,0.9938967136150235,0.9144497607655503,0.1253870569926221,0.9929577464788732,0.9003588516746411,0.1359814669995103,0.9938967136150235,0.9144497607655503,0.1369124129996635,0.9938967136150235,0.9144497607655503,0.13591589301358908
WDBC,367,30,0.027247956403269755,0.9826330532212886,0.48446997962477834,0.21052813102141954,0.9823529411764707,0.4821015585721468,0.22534144000383094,0.9801120448179272,0.4545750572956455,0.22909241099841893,0.9781512605042018,0.4250820503026386,0.22503310700994916,0.9761904761904763,0.4032115384615385,0.23147255202638917
