dataset,n,d,contam,n_langevin=0_auc,n_langevin=0_ap,n_langevin=0_secs,n_langevin=10_auc,n_langevin=10_ap,n_langevin=10_secs,n_langevin=20_auc,n_langevin=20_ap,n_langevin=20_secs,n_langevin=40_auc,n_langevin=40_ap,n_langevin=40_secs
breastw,683,9,0.34992679355783307,0.9902936409212559,0.9798072445998816,0.05800025301869027,0.9903784537675752,0.9798425949434287,0.255889207997825,0.991678917411135,0.9837112162321883,0.5619657869974617,0.9915564099664519,0.9830252036853238,0.8507904860016424
glass,214,7,0.04205607476635514,0.7869918699186991,0.11343768403377869,0.01953685301123187,0.7907859078590785,0.1151872344604655,0.06426608297624625,0.7913279132791328,0.11488050892437865,0.11111733302823268,0.7940379403794038,0.11602854625291559,0.20367479001288302
Hepatitis,80,19,0.1625,0.7898966704936854,0.4299055698258471,0.010706355009460822,0.7876004592422503,0.4581978184345725,0.03697484699659981,0.8036739380022963,0.49729809875509284,0.06006741398596205,0.7611940298507462,0.4092508872667451,0.10644035998848267
Ionosphere,351,32,0.358974358974359,0.9071604938271605,0.8733025384583885,0.028163912997115403,0.8695238095238095,0.8133933655822295,0.10349705099361017,0.8683597883597883,0.8115518613678271,0.17614506799145602,0.8537566137566137,0.7714807047333994,0.3442207589978352
Lymphography,148,18,0.04054054054054054,0.9976525821596244,0.9484126984126984,0.012586930010002106,0.9988262910798122,0.976190476190476,0.047528759023407474,0.9988262910798122,0.976190476190476,0.08385581299080513,0.9976525821596244,0.9484126984126984,0.15711502701742575
Pima,768,8,0.3489583333333333,0.6874402985074627,0.507456104390842,0.06815982700209133,0.6858955223880597,0.5114900481051351,0.30789118600660004,0.6819626865671643,0.5102779599433123,0.4593850410019513,0.6809776119402985,0.5082917116307043,0.8335660389857367
Stamps,340,9,0.09117647058823529,0.9013466958972753,0.33276459754806337,0.02515744700212963,0.9041653617287818,0.33799689381075654,0.09641752499737777,0.9028082263284267,0.335137405852039,0.18525521500851028,0.903225806451613,0.3359848071064928,0.34410750001552515
vertebral,240,6,0.125,0.2588888888888889,0.08266085342824413,0.019019266997929662,0.2546031746031746,0.08211738964071728,0.061657332989852875,0.2633333333333333,0.08288422934992512,0.10713907098397613,0.24666666666666667,0.08172584690224466,0.1905608880042564
WBC,223,9,0.04484304932735426,0.9948356807511738,0.9344497607655503,0.018048533995170146,0.9929577464788732,0.9094372294372294,0.06990911700995639,0.9929577464788732,0.9003588516746411,0.12328203101060353,0.9948356807511737,0.9305555555555555,0.26226174901239574
WDBC,367,30,0.027247956403269755,0.9826330532212886,0.4774892498805542,0.0418363920180127,0.981232492997199,0.4708881886087768,0.34866254500229843,0.9801120448179272,0.4545750572956455,0.40274166100425646,0.9851540616246499,0.5103540903540904,0.42479366800398566
wine,129,13,0.07751937984496124,0.9394957983193277,0.40206293706293705,0.01171655798680149,0.9630252100840335,0.517472804972805,0.05082795498310588,0.9731092436974791,0.6104220779220779,0.08387884602416307,0.9705882352941176,0.5708982683982684,0.13027884397888556
WPBC,198,33,0.23737373737373738,0.5641820487529943,0.2581857379248691,0.018122398993000388,0.5468507820205721,0.24483257578102902,0.055935488984687254,0.5523460617162181,0.2484827600272769,0.09298172098351642,0.5479780188812174,0.2448292955569304,0.17283636899082921
annthyroid,7200,6,0.07416666666666667,0.7770201177421112,0.32610160151512607,0.7157611619913951,0.7625981699293525,0.292035575773746,4.181093990977388,0.7811508678957783,0.32537857203687426,7.803767332981806,0.764317442980253,0.29984738598019206,14.785042635019636
cardio,1831,21,0.0961223375204806,0.922926393847844,0.5819979325478485,0.16956396200112067,0.9289549574292777,0.6178153337740359,0.832420129008824,0.9139625102993683,0.5791962544271125,1.3752608239883557,0.9258067838505906,0.5728706974249048,2.655961038020905
Cardiotocography,2114,21,0.22043519394512773,0.6534204550189591,0.4140296985409827,0.19671911001205444,0.6446349327055294,0.40126001493992547,0.9197298420185689,0.653360556689862,0.4032125827262203,1.6975568149937317,0.6534087357806576,0.40179172995570367,3.1419751649955288
fault,1941,27,0.3467284904688305,0.48588292920723164,0.40914063472924855,0.18015165900578722,0.46857964479401515,0.3947307671292677,0.9166969640064053,0.4730537027575571,0.3988905612311825,1.7191416730056517,0.4721877182538753,0.397864348024086,3.2087558700004593
landsat,6435,36,0.20714840714840715,0.5754826593751534,0.23980081990818827,0.6446673489990644,0.5776632319585189,0.2404461930952872,2.8679371009930037,0.578643974988259,0.2409243051356032,5.2436553690058645,0.5795403182430261,0.24095133854562056,9.66057428100612
letter,1600,32,0.0625,0.6882066666666667,0.10620801238104056,0.15167901501990855,0.6214000000000001,0.08976358899727513,0.6182944589818362,0.6111466666666666,0.11509024759511419,1.1401137950015254,0.6304866666666668,0.09329460353942767,2.0152246489888057
PageBlocks,5393,10,0.09456703133691823,0.9159894471816988,0.5467080678965761,0.5725916869996581,0.9058482209185128,0.5010108382856003,2.8566551030089613,0.9059714977533098,0.4921139244271449,5.20014237597934,0.9076889408231038,0.5009881595527497,9.899084269010928
pendigits,6870,16,0.022707423580786028,0.9258925093375495,0.18856837262215154,0.7069977450009901,0.9308524858122713,0.20846186049463228,3.4201962200168055,0.9227026572871075,0.15861920076812913,6.147539469995536,0.9274535413945603,0.20809387893656803,11.628156728023896
satellite,6435,36,0.3163947163947164,0.7809617831521809,0.7607883787535233,0.6357388950127643,0.7827965678929532,0.7612089886434594,2.9072230070014484,0.7833996027852375,0.762171955290671,5.19987333600875,0.7838587176671247,0.7620892651397397,9.628082795999944
satimage-2,5803,36,0.0122350508357746,0.9933631797764957,0.9572436313514413,0.5828113929892424,0.9937022694435982,0.9568627330846043,2.6517736480163876,0.993665411871087,0.9572737017777266,4.71783471602248,0.9941150742557228,0.9562534138553592,8.768107112002326
thyroid,3772,6,0.024655355249204668,0.9804908416557795,0.6403046194387269,0.3652107780217193,0.9808240317758157,0.622242690426208,1.967221992003033,0.9819346655092693,0.6292022960582175,3.640056005999213,0.9826624228767167,0.647110962248214,6.870390677999239
vowels,1456,12,0.034340659340659344,0.8849359886201992,0.35910231750059196,0.13065506401471794,0.8898150782361308,0.41075651873894936,0.5222043329849839,0.8829302987197724,0.4719259882731211,0.9207219149975572,0.8863157894736842,0.4721826687360432,1.7651662010175642
Waveform,3443,21,0.02904443799012489,0.5657822315285671,0.036824044222701954,0.3366805189871229,0.5292372120849536,0.036147789209067735,1.5717181569780223,0.52160933293449,0.03417457686135462,2.7462257720180787,0.5527445408315883,0.0336410095726607,5.2865966350072995
Wilt,4819,5,0.05333056650757419,0.42710122702002845,0.04204223696153117,0.47795295898686163,0.4130552338127349,0.04110121163670272,2.5075104070128873,0.4147986155297441,0.041224008031540076,4.656746321008541,0.41705290020589647,0.04138704411823155,9.068347783002537
yeast,1484,8,0.341644204851752,0.3968474115706617,0.2921343105929873,0.1403900209988933,0.4033782924421456,0.29395888059786696,0.613475168007426,0.40636008874730234,0.29495724386749667,1.0915246720251162,0.40591392965221795,0.2930625121237709,2.081224994006334
ALOI,49534,27,0.030443735615940565,0.5417643126219981,0.03606889666400627,1.362178446026519,0.5383710218967378,0.03507960134616443,3.3713561499898788,0.5440775766243329,0.035612962273418744,5.635462319012731,0.5402262283106819,0.03442242002041869,10.630871381988982
celeba,202599,39,0.022443348683853327,0.7822373184000642,0.12021021740590146,5.874177227000473,0.8241199684087295,0.16205081585718856,7.865064211015124,0.8000431720906206,0.1425718530387973,9.592479228012962,0.7988430887328617,0.14787539344991918,13.531673270976171
cover,286048,10,0.009603283365029646,0.855442120281774,0.03497093935593518,7.6386838459875435,0.8647611661472709,0.038388242543531646,9.476214132999303,0.8485316832924895,0.033909837609373945,12.327020432014251,0.8633291382337285,0.036497569703262005,15.181449460011208
donors,619326,10,0.05927411411760527,0.9091571472763709,0.24934578963687642,16.268804266001098,0.9102930311497434,0.2570686249903411,22.608862535998924,0.9144336090432303,0.26460584425756994,27.87698466499569,0.912033813180972,0.2644110057078361,27.09783312000218
fraud,284807,29,0.001727485630620034,0.9414207468270976,0.09644408563435083,7.768140842003049,0.9285906512715127,0.02686354801645012,10.041065013007028,0.9289128884729221,0.024436916040883667,12.405341870995471,0.9353121980958656,0.03731523463081699,16.821313946013106
