dataset,n,d,contam,spacing_k_factor=0.0_auc,spacing_k_factor=0.0_ap,spacing_k_factor=0.0_secs,spacing_k_factor=0.5_auc,spacing_k_factor=0.5_ap,spacing_k_factor=0.5_secs,spacing_k_factor=1.0_auc,spacing_k_factor=1.0_ap,spacing_k_factor=1.0_secs,spacing_k_factor=1.5_auc,spacing_k_factor=1.5_ap,spacing_k_factor=1.5_secs
breastw,683,9,0.34992679355783307,0.9921029816427306,0.9845977053117705,0.44472597300773486,0.9916035282144068,0.9835581280239908,0.4984315420151688,0.991678917411135,0.9837112162321883,0.4567860290117096,0.9916506464623619,0.983669452331532,0.524195113015594
glass,214,7,0.04205607476635514,0.7880758807588076,0.11525480246463193,0.11092606501188129,0.7934959349593496,0.11616003722830773,0.12414545498904772,0.7913279132791328,0.11488050892437865,0.11511956100002863,0.7907859078590784,0.11479813839880001,0.12192693300312385
Hepatitis,80,19,0.1625,0.7738231917336394,0.4702100951038512,0.06806537200463936,0.7967853042479908,0.4971769350285974,0.07173375700949691,0.8036739380022963,0.49729809875509284,0.06999664299655706,0.8094144661308841,0.501778235376239,0.07013752902275883
Ionosphere,351,32,0.358974358974359,0.8514638447971781,0.7748391742593292,0.17975509498501197,0.8715343915343915,0.8154355954886138,0.1835827579780016,0.8683597883597883,0.8115518613678271,0.18466601500404067,0.86663139329806,0.8074663717024118,0.18219827799475752
Lymphography,148,18,0.04054054054054054,0.9988262910798122,0.9761904761904762,0.07807211301405914,0.9988262910798122,0.976190476190476,0.08371541398810223,0.9988262910798122,0.976190476190476,0.08747753399075009,0.9988262910798122,0.976190476190476,0.08959034000872634
Pima,768,8,0.3489583333333333,0.6629477611940299,0.47873705615519757,0.4123683239740785,0.6755223880597014,0.5049433255445301,0.4556678000080865,0.6819626865671643,0.5102779599433123,0.4760142200102564,0.6861865671641791,0.5148097645001075,0.5139691020012833
Stamps,340,9,0.09117647058823529,0.8918467480947907,0.3176787310553811,0.19937181900604628,0.8997807704353273,0.3293530229573358,0.1875308589951601,0.9028082263284267,0.335137405852039,0.18325490900315344,0.9046873368827644,0.338921209050838,0.1809435329923872
vertebral,240,6,0.125,0.3742857142857142,0.10709284025977006,0.09364536899374798,0.2947619047619048,0.08554600179793893,0.10874712900840677,0.2633333333333333,0.08288422934992512,0.10510795799200423,0.2415873015873016,0.08106857360346485,0.1743864789896179
WBC,223,9,0.04484304932735426,0.9934272300469483,0.9076315789473685,0.21748280100291595,0.9929577464788732,0.9003588516746411,0.2179415379941929,0.9929577464788732,0.9003588516746411,0.34067975301877595,0.9929577464788732,0.9003588516746411,0.27778600598685443
WDBC,367,30,0.027247956403269755,0.9820728291316526,0.47960317460317464,0.4978306639823131,0.9801120448179272,0.4545750572956455,0.3549441829964053,0.9801120448179272,0.4545750572956455,0.25853677801205777,0.9801120448179272,0.4545750572956455,0.2706362589960918
wine,129,13,0.07751937984496124,0.9647058823529412,0.6188508223802341,0.08914456100319512,0.9722689075630253,0.6034776334776335,0.08783691798453219,0.9731092436974791,0.6104220779220779,0.09152610399178229,0.9739495798319329,0.6153671328671328,0.08383839100133628
WPBC,198,33,0.23737373737373738,0.5633366211075101,0.26850058228430906,0.10064079001313075,0.5426236437931521,0.2463002892890452,0.11991492300876416,0.5523460617162181,0.2484827600272769,0.10353899298934266,0.5509370156404114,0.24724573379586495,0.09189888398395851
annthyroid,7200,6,0.07416666666666667,0.9268005452230617,0.43401678151564493,8.064625200000592,0.7868727884024358,0.3250819319493418,12.291133371007163,0.7811508678957783,0.32537857203687426,13.108168596983887,0.7806440756435192,0.32516501516512974,11.984968144010054
cardio,1831,21,0.0961223375204806,0.9009509750068663,0.5735055897634337,2.3218450179847423,0.9130149684152704,0.5758807658970182,2.5326298129803035,0.9139625102993683,0.5791962544271125,2.3719109669909813,0.9131179620983246,0.5794088819682729,2.4774792270036414
Cardiotocography,2114,21,0.22043519394512773,0.6749825513563065,0.4088410358009057,2.454236852005124,0.6557564898537439,0.40432660591066005,2.7065849369973876,0.653360556689862,0.4032125827262203,2.812287723994814,0.6514841764240176,0.40189008665966985,2.9625478599919006
fault,1941,27,0.3467284904688305,0.4706895299075189,0.3995089672402393,2.6282991299813148,0.4725966879315274,0.3992652719236708,2.8046789380023256,0.4730537027575571,0.3988905612311825,2.930046385998139,0.4724267721628754,0.3984605140126424,2.7087526870018337
landsat,6435,36,0.20714840714840715,0.46709621839015225,0.19038682659249653,7.874902195006143,0.5550807047116543,0.23530146682480188,6.2721329649793915,0.578643974988259,0.2409243051356032,5.3626348370162304,0.6008308231507112,0.22805113888667486,5.5305739539908245
letter,1600,32,0.0625,0.6064233333333333,0.11178270777770088,1.0167839100176934,0.6137133333333333,0.11735325170360045,1.2196123839821666,0.6111466666666666,0.11509024759511419,1.2667334279976785,0.6066266666666666,0.11509861276171438,1.5561650469899178
PageBlocks,5393,10,0.09456703133691823,0.8959788461770127,0.48128962548430504,4.781341677007731,0.9072532555926323,0.4936597465322035,5.665598025982035,0.9059714977533098,0.4921139244271449,5.539111374993809,0.904788923556316,0.4906458700992026,5.622266893013148
pendigits,6870,16,0.022707423580786028,0.8938622319989612,0.11049055207703709,5.638406607991783,0.919713304766924,0.15009861505433858,6.080845963006141,0.9227026572871075,0.15861920076812913,6.056231352995383,0.9228811973450044,0.160900756015389,6.0891924840107094
satellite,6435,36,0.3163947163947164,0.6984088632395914,0.6420513110803595,4.631356750993291,0.7654629713575732,0.7548747281802828,5.207837975991424,0.7833996027852375,0.762171955290671,5.112925610010279,0.798523150689275,0.7254786618103597,5.044918897998286
